Sottoarea,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
60,6,5,5,5,5,5,5,5,5,5
61,5,4,4,4,4,4,4,4,4,4
62,3,2,2,3,3,3,3,3,3,3
63,2,2,2,1,1,2,2,2,2,2
64,3,3,3,3,3,3,3,3,3,3
65,1,0,0,0,0,0,0,0,0,0
66,2,2,2,2,2,2,2,2,2,2
67,2,2,2,2,2,2,2,2,2,2
68,1,1,2,1,1,2,1,1,2,1
69,1,1,1,1,1,1,1,1,1,1
70,1,1,1,1,1,1,1,1,1,1
71,1,1,1,1,1,1,1,1,1,1
73,1,1,1,1,1,1,1,1,1,1
74,3,3,3,3,2,2,2,3,3,3
75,2,2,2,2,2,2,2,2,2,2
76,2,2,2,2,2,2,2,2,2,2
77,7,5,4,6,5,5,6,5,5,5
79,0,1,1,1,1,1,1,1,1,1
80,2,2,1,1,2,2,2,2,2,2
81,1,2,2,2,2,2,2,2,2,2
82,1,1,1,1,1,1,1,1,1,1
83,2,2,2,2,3,3,3,2,2,2
84,4,3,4,4,4,4,4,4,4,4
85,1,1,1,1,1,1,1,1,1,1
86,4,4,4,4,4,4,4,4,4,4
87,1,1,1,1,1,1,1,1,1,1
88,6,6,6,6,6,6,6,6,6,6
89,2,2,2,2,2,2,2,2,2,2
90,5,5,5,5,5,5,5,5,5,5
91,2,3,2,2,2,2,2,2,2,2
92,4,3,3,3,3,3,3,3,3,3
93,1,1,1,1,1,1,1,1,1,1
94,3,3,3,3,3,3,3,3,3,3
95,3,3,3,3,3,3,3,3,3,3
96,3,2,2,3,3,3,3,3,3,3
97,3,1,1,1,1,1,2,2,2,2
98,1,1,1,1,1,1,1,1,1,1
99,2,1,1,2,2,2,2,2,2,2
100,4,3,3,4,4,4,4,4,4,4
101,3,3,3,3,3,3,3,3,3,3
102,3,4,4,4,4,4,4,4,4,4
103,2,2,2,2,2,2,2,2,2,2
104,2,2,2,2,2,2,2,2,2,2
105,7,3,3,4,5,5,5,5,5,5
106,6,3,2,3,4,5,5,4,4,4
107,2,1,2,2,2,2,2,2,2,2
108,1,2,2,2,2,2,2,2,2,2
109,2,3,3,3,3,3,3,3,3,3
110,1,2,2,2,2,2,2,2,2,2
111,6,5,5,5,5,5,5,5,5,5
112,1,1,1,1,1,1,1,1,1,1
113,5,5,5,4,4,4,4,4,4,4
114,4,4,5,5,5,4,4,4,4,4
115,0,0,0,0,0,0,0,0,0,0
116,1,1,1,1,1,1,1,1,1,1
117,0,0,0,0,0,0,0,0,0,0
118,2,2,1,1,1,1,1,2,1,1
120,3,4,4,4,4,4,4,4,4,4
121,5,4,4,4,5,5,5,5,5,5
122,2,2,2,2,2,2,2,2,2,2
123,3,2,2,2,2,2,2,2,2,2
124,2,3,3,2,2,2,2,2,2,2
125,3,3,3,3,3,3,3,3,3,3
126,3,2,1,2,2,2,2,2,2,2
127,2,2,2,2,2,2,2,2,2,2
128,1,1,1,1,1,1,1,1,1,1
129,3,3,3,3,3,3,3,3,3,3
130,2,2,3,3,3,3,3,3,3,3
131,3,4,4,4,4,4,4,4,4,4
132,2,1,1,1,1,1,2,1,1,1
133,3,2,2,2,2,2,2,2,2,2
134,1,1,1,1,1,1,1,1,1,1
135,3,3,3,3,3,3,3,3,3,3
136,1,1,1,1,1,1,1,1,1,1
137,1,0,0,1,1,1,1,1,1,0
138,2,1,1,1,1,1,1,1,1,1
139,4,3,3,3,3,3,3,3,3,3
140,3,3,3,3,3,3,3,3,3,3
141,1,1,1,1,1,1,1,1,1,1
142,2,2,2,2,3,3,3,3,2,2
143,1,1,1,1,1,1,1,1,1,1
144,4,3,3,3,3,3,4,3,3,3
145,3,3,3,4,4,4,3,3,3,3
