Sottoarea,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
54,4.277968,4.279352,3.539897,2.924274,2.76198,3.012939,3.371702,3.567822,3.528095,3.358278
55,7.949827,5.918178,4.08974,3.586204,4.177035,5.006637,5.425375,5.331244,5.004463,4.759844
56,0.4608524,0.3558366,0.3558366,0.3558366,0.3558366,0.3558366,0.3558366,0.3558366,0.3558366,0.3558366
57,11.31158,11.10526,8.464081,6.0277,5.334818,6.350626,7.897182,8.784673,8.609787,7.798061
58,8.906959,6.364274,4.687163,5.974536,5.922739,5.71558,5.893742,5.789242,5.839569,5.818951
59,2.725402,2.697803,2.231952,1.839603,1.72354,1.821508,1.96942,2.052225,2.050647,2.006589
60,15.44492,14.80676,10.15339,6.305912,5.548912,7.915495,11.15472,12.8522,12.10623,9.889188
61,17.85536,14.89666,10.09048,7.28861,7.685387,9.923679,11.87497,12.32922,11.49265,10.36635
62,6.97024,5.688391,6.656051,6.201006,2.689424,4.629554,6.910947,6.03244,4.593777,4.94537
63,3.523742,2.465062,2.083905,2.294912,2.352089,2.367582,2.371781,2.372918,2.373227,2.37331
65,0.7566805,0.5833545,0.8599748,0.7701534,0.2625517,0.2849913,0.6354794,0.7579462,0.7591945,0.7923125
66,3.934885,3.492135,4.658266,3.785229,2.151965,3.010331,4.132572,3.932237,3.257534,3.202112
67,8.031597,7.157066,5.079935,4.297556,4.272023,5.190355,5.614737,5.845148,5.461068,5.282287
68,3.171758,3.279995,3.722193,2.640471,2.487407,2.746566,2.928056,3.249674,3.344096,3.166461
69,4.043873,3.238649,2.952296,3.008521,3.14849,3.235629,3.254217,3.23872,3.220642,3.212184
70,7.056211,7.490206,5.564011,3.195924,2.063227,2.791843,4.57831,6.003557,6.11844,5.042882
71,3.567667,1.826375,1.938527,2.78387,1.553874,1.774459,2.868881,2.201989,1.423513,2.389613
72,2.957745,2.4377,2.119014,2.027175,1.979541,1.95059,1.930619,1.915707,1.904095,1.894867
73,5.158643,4.903385,3.850306,3.159249,3.063892,3.401617,3.787798,3.964768,3.905281,3.739879
74,7.715652,7.55199,5.777972,4.349305,4.038594,4.747965,5.698485,6.185868,6.019635,5.502499
75,6.712888,6.873492,5.13734,3.310485,2.607649,3.253136,4.48248,5.3215,5.292211,4.621589
76,9.675175,9.154385,6.607105,4.494553,4.109833,5.258969,6.739556,7.448293,7.107543,6.233601
77,10.24282,10.43792,7.826784,5.007981,3.927327,4.867534,6.661102,7.868397,7.823874,6.885288
78,0.523144,0.6419349,0.6377045,0.5830901,0.5646402,0.5584073,0.5563018,0.5555904,0.5553501,0.555269
79,4.900761,4.124569,3.644743,2.528767,0.4464633,0.8930864,3.400033,4.643136,4.158176,3.456756
80,8.043939,6.833876,4.633897,3.415239,3.630439,4.696244,5.638027,5.872288,5.466412,4.890164
81,5.335873,4.382017,3.416657,3.059029,3.219526,3.526111,3.707877,3.714421,3.632924,3.561049
82,2.786564,2.13566,1.716761,1.656813,1.781211,1.902393,1.945821,1.930114,1.900174,1.883311
83,7.003445,5.77592,3.812446,2.698839,2.974129,4.050345,4.945219,5.082954,4.582304,3.975801
84,8.091558,6.722568,5.11225,5.752828,5.820422,5.625989,5.77227,5.693259,5.727014,5.716164
85,2.61571,2.181774,2.295422,2.070077,0.8307006,0.6944525,1.889911,2.289092,1.88754,2.034628
86,6.61845,8.371199,9.336015,5.903948,3.510741,3.196479,4.39518,7.033897,8.855455,8.353099
87,3.002551,2.837326,2.239549,2.187801,2.305756,2.464405,2.499442,2.476688,2.452398,2.459056
88,14.65917,14.28171,11.13921,8.818093,8.31556,9.288538,10.53348,11.15991,11.01023,10.48136
89,3.03625,2.657291,2.105228,1.979677,2.092037,2.272847,2.378039,2.384135,2.33621,2.289225
90,15.26748,14.74081,13.20893,11.57459,5.37148,4.883623,10.40405,14.8481,14.87084,13.37497
91,10.24522,8.55176,6.320914,5.28227,5.620791,6.516839,7.128764,7.167716,6.853937,6.549888
92,11.57135,10.16781,7.025209,4.839409,4.786541,6.214377,7.675265,8.166153,7.666527,6.835352
93,3.911108,3.381253,2.386858,1.846436,1.947214,2.425203,2.844011,2.946188,2.764558,2.508986
94,6.0682,5.611213,5.611241,5.632955,4.543812,4.974756,5.714748,5.233148,4.76953,5.232393
95,4.866766,4.12345,3.055489,2.97412,3.069334,3.088926,3.103348,3.113965,3.12178,3.127534
96,8.88915,8.559637,6.206806,4.154888,3.661601,4.624041,5.975692,6.695084,6.477733,5.737556
97,4.030325,4.351511,3.397544,2.954031,2.657515,2.938493,3.095639,3.263624,3.191998,3.147549
98,5.618388,3.792225,3.572024,3.680895,2.261786,2.310136,4.290566,4.354687,2.980519,3.464082
99,7.468723,5.129664,6.391967,5.782056,1.768939,2.513894,5.886029,6.030737,5.4696,6.324002
100,8.873261,8.380634,5.603456,3.1484,2.586285,3.910354,5.797977,6.827464,6.473797,5.278825
101,4.912431,4.11449,3.219247,3.682593,3.549259,3.572672,3.580895,3.567113,3.578948,3.57038
102,8.833378,6.715695,5.608875,6.472619,6.386249,6.193388,6.402308,6.2669,6.328027,6.313477
103,3.823635,3.301572,2.994011,3.033394,3.036888,3.025961,3.010489,2.994803,2.980623,2.968469
104,3.913743,3.673788,5.491933,5.186485,2.267253,2.172739,3.792075,4.293637,4.291377,4.731667
105,9.281306,7.571539,6.04618,6.936857,7.635034,6.528337,7.358787,6.990788,7.004986,7.151527
106,10.29488,5.133256,5.214839,9.908122,7.750162,4.407649,7.868588,9.395063,5.546314,5.855977
107,3.009267,2.376385,1.834052,1.686747,1.830231,2.025113,2.119624,2.103391,2.042784,1.999328
108,5.685144,3.930468,3.535343,3.775156,3.84164,3.860072,3.865182,3.866599,3.866992,3.867101
109,7.520185,6.923611,7.950727,7.19363,4.321984,5.626027,7.484904,6.789406,5.595129,5.953764
110,3.959683,3.25148,2.638897,2.438728,2.559965,2.766227,2.891026,2.901453,2.849655,2.7983
111,12.68103,10.45644,12.9602,9.970049,3.029691,4.902551,11.52665,12.13933,10.7866,11.81682
112,6.445681,4.510589,3.502974,4.041832,4.135088,4.151227,4.15402,4.154504,4.154587,4.154602
113,12.00425,11.95258,7.936821,4.462167,3.51877,5.607488,8.793544,10.68572,10.09379,7.761538
114,16.47261,15.36018,11.35809,8.394278,7.99669,9.668576,11.67892,12.60805,12.17542,11.07896
115,1.031153,0.8799163,0.611515,0.3073761,0.277026,0.445627,0.6499411,0.7628054,0.7234031,0.5926776
116,2.525712,2.861294,3.51379,3.167232,1.667697,2.397024,3.3502,2.845849,2.241234,2.588309
117,1.117313,0.8472269,0.6942823,0.7750748,0.771355,0.7715263,0.7715184,0.7715188,0.7715188,0.7715188
118,4.605059,4.404676,3.561331,2.917494,2.790723,3.055163,3.386341,3.548239,3.506509,3.369281
119,1.073425,0.7898809,0.6624054,0.7469297,0.7469297,0.7469297,0.7469297,0.7469297,0.7469297,0.7469297
120,11.45565,12.25292,9.712624,6.532595,5.005641,5.668908,7.445441,8.830817,9.017258,8.228714
121,8.800831,7.998121,6.652689,5.906482,5.848104,6.096636,6.316084,6.391353,6.364177,6.312979
122,3.714351,3.345149,2.529478,2.263779,2.298894,2.359633,2.407426,2.445032,2.474622,2.497905
123,5.764558,4.943987,3.774199,3.168827,3.269843,3.698107,4.030602,4.094234,3.967113,3.816368
124,8.844433,8.020379,6.154046,4.889068,4.80619,5.477496,6.157121,6.397912,6.221592,5.913376
125,11.88429,10.21447,7.408951,5.767824,5.969766,7.207006,8.270331,8.50834,8.061958,7.480804
126,6.585669,5.520729,4.264132,3.715055,3.895847,4.348255,4.653666,4.684193,4.5489,4.412589
127,9.859771,8.926257,5.981593,3.988509,4.058834,5.835448,7.76198,8.449072,7.615929,6.108358
128,1.524312,1.061858,0.8504311,1.04909,1.158183,1.108235,1.073776,1.050004,1.033605,1.022291
129,8.523499,8.679998,9.621285,9.538703,4.620403,6.166911,9.197744,8.687696,6.875776,6.941685
130,10.93494,10.4385,7.659455,5.548752,5.206638,6.395873,7.876774,8.577795,8.249644,7.403744
131,11.29375,10.10223,6.997481,4.902992,4.884904,6.331866,7.808269,8.30068,7.774728,6.899926
132,6.476248,5.640789,4.705335,4.429766,4.496758,4.718038,4.804627,4.827319,4.777581,4.758739
133,10.44002,10.38644,7.413774,6.38348,5.760866,6.405178,6.379223,6.580909,6.627523,6.70559
134,2.052551,2.1954,2.472066,1.660385,1.03839,1.066431,1.388876,1.963731,2.359395,2.205561
135,8.384572,8.892313,6.641672,4.837903,4.24863,5.316722,7.008865,8.062287,7.794898,6.565217
136,2.261089,2.099513,1.859581,1.732213,1.728849,1.7792,1.821462,1.834774,1.827964,1.816889
137,6.541682,5.302631,3.820329,3.17948,3.470499,4.126883,4.565278,4.58082,4.332248,4.090764
138,5.249505,4.12586,2.956476,2.53461,2.821571,3.326074,3.621778,3.601791,3.413573,3.253204
139,10.35526,9.97029,7.266814,4.861105,4.27141,5.38978,6.974639,7.820741,7.563613,6.68924
140,12.45435,11.17838,8.120123,6.198855,6.083242,7.365038,8.529265,8.972492,8.548305,7.954614
141,4.662613,3.418059,2.482564,2.312134,2.662128,3.067844,3.243776,3.183539,3.034897,2.933888
142,8.747606,7.844925,5.918818,4.620392,4.544879,5.260641,5.992603,6.259789,6.071609,5.729038
143,3.651016,3.310581,2.669143,2.276793,2.262442,2.454058,2.63171,2.68968,2.648631,2.581981
144,17.92898,15.96639,12.35223,11.10396,10.95368,11.97262,12.41883,12.71855,12.46005,12.35972
145,11.65338,9.793907,7.050624,5.569179,5.807164,6.916173,7.821693,8.015121,7.657366,7.203984
