sottoarea,lat,lon,citta,provincia,regione,zona_italia,isola,abitanti,min_distanza,densita
63,44.526593451612904,8.942896612903224,Serra Riccò,GE,LIG,Nord,0,7885,42081,0
64,43.11526675882359,13.457732276470596,Falerone,FM,MAR,Centro,0,3337,41831,0
65,43.48984292307693,13.51013546153846,Osimo,AN,MAR,Centro,0,34977,27912,0
66,45.53007871999999,9.416546080000002,Gorgonzola,MI,LOM,Nord,0,20233,11402,0
67,45.27166117355372,9.956184892561993,Paderno Ponchielli,CR,LOM,Nord,0,1439,34651,0
68,38.16890584269665,15.005016404494388,Patti,ME,SIC,Sud,1,13431,33235,0
69,38.05824965714285,15.357166071428573,Fiumedinisi,ME,SIC,Sud,1,1409,33235,0
70,45.460424444444435,9.195547777777778,Milano,MI,LOM,Nord,0,1345851,954,6
71,45.48031483333334,9.1283765,Milano,MI,LOM,Nord,0,1345851,5277,5
72,45.455312666666664,9.185742999999999,Milano,MI,LOM,Nord,0,1345851,954,6
73,45.395908000000006,9.183249099999998,Milano,MI,LOM,Nord,0,1345851,6605,2
74,45.42012742857143,8.985380600000001,Gaggiano,MI,LOM,Nord,0,9032,13033,0
75,45.26773892063488,9.51466503174603,San Martino in Strada,LO,LOM,Nord,0,3641,29628,0
76,45.11686114728686,9.068015914728685,Sommo,PV,LOM,Nord,0,1145,32304,0
77,45.50834842857142,9.246044214285714,Milano,MI,LOM,Nord,0,1345851,3503,5
78,45.51394,9.20192,Milano,MI,LOM,Nord,0,1345851,2870,5
79,45.48811549999999,9.20217675,Milano,MI,LOM,Nord,0,1345851,2870,5
80,44.66438294827587,10.987175982758622,Modena,MO,EMR,Centro,0,184973,3561,1
81,44.63248793103449,10.98274482758621,Modena,MO,EMR,Centro,0,184973,3561,1
82,44.57736237499999,11.199472175,Anzola dell'Emilia,BO,EMR,Centro,0,12267,18263,0
83,45.66533931578947,9.21861336842105,Carate Brianza,MB,LOM,Nord,0,17884,10370,0
84,45.61098139130436,9.326723782608696,Arcore,MB,LOM,Nord,0,17874,10370,0
85,40.87142500000001,14.238771166666664,Napoli,NA,CAM,Sud,0,974074,1972,2
86,40.791136619047606,14.075671619047618,Bacoli,NA,CAM,Sud,0,26560,10506,0
87,40.8537444,14.2410586,Napoli,NA,CAM,Sud,0,974074,1972,2
88,40.76065696363636,14.374671799999994,Torre del Greco,NA,CAM,Sud,0,86275,15296,0
89,40.882090999999996,14.2589085,Napoli,NA,CAM,Sud,0,974074,2069,2
90,40.90509673333334,14.474985888888888,Scisciano,NA,CAM,Sud,0,5994,18134,0
91,45.730626518828494,8.35687324267782,Valduggia,VC,PIE,Nord,0,2056,33185,0
92,45.29364013698629,11.78428915068493,Battaglia Terme,PD,VEN,Nord,0,3881,25849,0
93,45.534329093749996,11.906817531249999,San Giorgio delle Pertiche,PD,VEN,Nord,0,10214,21255,0
94,37.92942416279068,13.397482697674418,Santa Cristina Gela,PA,SIC,Sud,1,1008,29710,0
95,37.9557098909091,13.8953884,Collesano,PA,SIC,Sud,1,4054,43863,0
96,44.7541934117647,10.235036799999998,Collecchio,PR,EMR,Centro,0,14403,37712,0
97,44.807995488,9.711543520000014,Gropparello,PC,EMR,Centro,0,2293,41861,0
98,42.70943265168542,12.643601617977527,Acquasparta,TR,UMB,Centro,0,4778,52407,0
99,43.13323234375001,12.361630093750005,Perugia,PG,UMB,Centro,0,166134,52407,0
100,46.16282131506851,12.92471033561644,Pinzano al Tagliamento,PN,FVG,Nord,0,1525,48082,0
101,40.654203763157895,17.649361736842103,Ostuni,BR,PUG,Sud,0,31318,36560,0
102,40.13427956410258,18.222467188034205,Cutrofiano,LE,PUG,Sud,0,9045,75502,0
103,36.958394595744686,14.670031744680852,Ragusa,RG,SIC,Sud,1,73313,41306,0
104,37.034324600000005,15.124307350000006,Siracusa,SR,SIC,Sud,1,122291,41306,0
105,44.55122555555556,10.616070496732027,Viano,RE,EMR,Centro,0,3374,30483,0
106,43.99437258999997,12.39047588,Poggio Torriana,RN,EMR,Centro,0,5135,34139,0
107,44.12315426190477,12.003635238095237,Forlì,FC,EMR,Centro,0,117913,34139,0
108,41.920350875,12.463586124999999,Roma,RM,LAZ,Centro,0,2864731,2361,4
109,41.89995249999999,12.4555524,Roma,RM,LAZ,Centro,0,2864731,2361,4
110,41.96836966666667,12.549290888888887,Roma,RM,LAZ,Centro,0,2864731,7180,3
111,41.84841182857142,12.608948457142855,Roma,RM,LAZ,Centro,0,2864731,7374,2
112,41.913501000000004,12.503501444444444,Roma,RM,LAZ,Centro,0,2864731,3397,5
113,41.8880308,12.537674899999997,Roma,RM,LAZ,Centro,0,2864731,4005,6
114,41.791430878787885,12.387132848484852,Roma,RM,LAZ,Centro,0,2864731,9879,1
115,41.83022,12.49413,Roma,RM,LAZ,Centro,0,2864731,7369,5
116,40.73453880434783,9.326377333333337,Alà/Alà dei Sardi,OT,SAR,Centro,1,1899,66349,0
117,39.98356953521125,9.160310633802816,Meana/Meana Sardo,NU,SAR,Centro,1,1832,38566,0
118,40.69654919753087,8.542722617283953,Sassari,SS,SAR,Centro,1,127525,66349,0
119,39.894451016666636,8.72418781666666,Prammas/Palmas Arborea,OR,SAR,Centro,1,1493,38566,0
120,39.30896569753089,8.96380133333334,Deximumannu/Decimomannu,CA,SAR,Centro,1,8139,68184,0
121,37.85570108450704,12.72392367605634,Salemi,TP,SIC,Sud,1,10794,49008,0
122,38.12482905882353,13.166214941176468,Carini,PA,SIC,Sud,1,38455,29710,0
123,43.951561653061205,11.337154510204085,Borgo San Lorenzo,FI,TOS,Centro,0,18211,20862,0
124,43.726519230769235,11.354753846153852,Bagno a Ripoli,FI,TOS,Centro,0,25611,25044,0
125,43.878881631578935,11.097664394736844,Prato,PO,TOS,Centro,0,191150,20862,0
126,43.95093804878044,10.856268158536574,Pistoia,PT,TOS,Centro,0,90315,20977,0
127,43.47084308241758,11.683820543956044,Pergine Valdarno,AR,TOS,Centro,0,3162,38896,0
128,43.0917379850746,11.548439597014928,Montalcino,SI,TOS,Centro,0,5093,43527,0
129,43.57268863207548,10.513264103773592,Fauglia,PI,TOS,Centro,0,3682,48792,0
130,43.99872785507247,10.366288260869565,Stazzema,LU,TOS,Centro,0,3193,39672,0
131,43.068178316964335,10.963740147321428,Massa Marittima,GR,TOS,Centro,0,8375,47686,0
132,45.07034118181818,7.693323636363635,Torino,TO,PIE,Nord,0,890529,3607,3
133,45.061114428571436,7.649409642857142,Torino,TO,PIE,Nord,0,890529,3607,3
134,45.00864707692307,7.715593692307693,Moncalieri,TO,PIE,Nord,0,57294,7077,2
135,44.9816984552239,7.387146097014929,Cumiana,TO,PIE,Nord,0,7826,17331,0
136,45.041467,7.5902140000000005,Torino,TO,PIE,Nord,0,890529,5149,2
137,45.708989213483164,12.46583113483146,Ponte di Piave,TV,VEN,Nord,0,8342,16356,0
138,45.68425007317073,12.258809902439028,Treviso,TV,VEN,Nord,0,83731,16356,0
139,45.88339894017094,13.398751145299146,San Vito al Torre,UD,FVG,Nord,0,1269,48082,0
140,45.80344563218391,8.770605425287359,Varese,VA,LOM,Nord,0,80799,30163,0
141,45.07084200000001,11.878752692982458,Villadose,RO,VEN,Nord,0,5099,25849,0
142,45.488346681818165,12.17084625,Spinea,VE,VEN,Nord,0,27927,21255,0
143,45.33045938888888,12.330347833333333,Venezia,VE,VEN,Nord,0,263352,21536,0
144,45.42112336942675,11.026967929936308,Verona,VR,VEN,Nord,0,258765,41067,0
145,45.59725476612903,11.502944346774195,Costabissara,VI,VEN,Nord,0,7436,32295,0
