"Sottoarea","LATITUDINE","LONGITUDINE"
"Sottoarea_81",44.63248793103449,10.98274482758621
"Sottoarea_82",44.57736237499999,11.199472175
"Sottoarea_83",45.66533931578947,9.21861336842105
"Sottoarea_84",45.61098139130436,9.326723782608696
"Sottoarea_85",40.87142500000001,14.238771166666664
"Sottoarea_86",40.791136619047606,14.075671619047618
"Sottoarea_87",40.8537444,14.2410586
"Sottoarea_88",40.76065696363636,14.374671799999994
"Sottoarea_89",40.882090999999996,14.2589085
"Sottoarea_90",40.90509673333334,14.474985888888888
"Sottoarea_91",45.730626518828494,8.35687324267782
"Sottoarea_92",45.29364013698629,11.78428915068493
"Sottoarea_93",45.534329093749996,11.906817531249999
"Sottoarea_94",37.92942416279068,13.397482697674418
"Sottoarea_95",37.9557098909091,13.8953884
"Sottoarea_96",44.7541934117647,10.235036799999998
"Sottoarea_97",44.807995488,9.711543520000014
"Sottoarea_98",42.70943265168542,12.643601617977527
"Sottoarea_99",43.13323234375001,12.361630093750005
"Sottoarea_100",46.16282131506851,12.92471033561644
"Sottoarea_101",40.654203763157895,17.649361736842103
"Sottoarea_102",40.13427956410258,18.222467188034205
"Sottoarea_103",36.958394595744686,14.670031744680852
"Sottoarea_104",37.034324600000005,15.124307350000006
"Sottoarea_105",44.55122555555556,10.616070496732027
"Sottoarea_106",43.99437258999997,12.39047588
"Sottoarea_107",44.12315426190477,12.003635238095237
"Sottoarea_108",41.920350875,12.463586124999999
"Sottoarea_109",41.89995249999999,12.4555524
"Sottoarea_110",41.96836966666667,12.549290888888887
"Sottoarea_111",41.84841182857142,12.608948457142855
"Sottoarea_112",41.913501000000004,12.503501444444444
"Sottoarea_113",41.8880308,12.537674899999997
"Sottoarea_114",41.791430878787885,12.387132848484852
"Sottoarea_115",41.83022,12.49413
"Sottoarea_116",40.73453880434783,9.326377333333337
"Sottoarea_117",39.98356953521125,9.160310633802816
"Sottoarea_118",40.69654919753087,8.542722617283953
"Sottoarea_119",39.894451016666636,8.72418781666666
"Sottoarea_120",39.30896569753089,8.96380133333334
"Sottoarea_121",37.85570108450704,12.72392367605634
"Sottoarea_122",38.12482905882353,13.166214941176468
"Sottoarea_123",43.951561653061205,11.337154510204085
"Sottoarea_124",43.726519230769235,11.354753846153852
"Sottoarea_125",43.878881631578935,11.097664394736844
"Sottoarea_126",43.95093804878044,10.856268158536574
"Sottoarea_127",43.47084308241758,11.683820543956044
"Sottoarea_128",43.0917379850746,11.548439597014928
"Sottoarea_129",43.57268863207548,10.513264103773592
"Sottoarea_130",43.99872785507247,10.366288260869565
"Sottoarea_131",43.068178316964335,10.963740147321428
"Sottoarea_132",45.07034118181818,7.693323636363635
"Sottoarea_133",45.061114428571436,7.649409642857142
"Sottoarea_134",45.00864707692307,7.715593692307693
"Sottoarea_135",44.9816984552239,7.387146097014929
"Sottoarea_136",45.041467,7.5902140000000005
"Sottoarea_137",45.708989213483164,12.46583113483146
"Sottoarea_138",45.68425007317073,12.258809902439028
"Sottoarea_139",45.88339894017094,13.398751145299146
"Sottoarea_140",45.80344563218391,8.770605425287359
"Sottoarea_141",45.07084200000001,11.878752692982458
"Sottoarea_142",45.488346681818165,12.17084625
"Sottoarea_143",45.33045938888888,12.330347833333333
"Sottoarea_144",45.42112336942675,11.026967929936308
"Sottoarea_145",45.59725476612903,11.502944346774195
