Sottoarea,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
90,10,6,5,11,17,15,11,8,6,7
91,4,5,6,6,6,6,5,5,6,6
92,5,5,6,6,6,6,5,5,6,6
93,1,1,2,2,2,2,2,2,2,2
94,5,4,5,6,6,4,5,6,5,5
95,3,3,3,3,3,3,3,3,3,3
96,3,3,4,5,5,5,4,4,4,4
97,1,2,3,3,3,3,3,3,3,3
98,3,2,3,5,4,2,4,4,2,3
99,3,1,3,5,6,4,4,3,2,3
100,2,3,5,6,6,5,4,3,4,4
101,2,3,3,4,4,4,3,3,3,3
102,5,6,6,6,6,6,6,6,6,6
103,3,3,3,3,3,3,3,3,3,3
104,3,1,2,3,4,3,3,2,2,2
105,6,7,7,8,6,7,7,7,7,7
106,9,6,6,9,7,6,8,9,6,7
107,2,2,2,2,2,2,2,2,2,2
108,3,4,4,4,4,4,4,4,4,4
109,6,6,7,6,6,6,6,6,6,6
110,2,3,3,3,2,2,2,2,2,2
111,6,4,6,13,12,7,7,9,6,6
112,4,4,4,4,4,4,4,4,4,4
113,4,4,5,7,7,7,6,4,4,5
114,7,8,10,11,10,9,9,9,9,9
115,0,0,1,1,0,0,0,0,0,0
116,3,2,2,3,3,3,2,3,3,3
117,1,1,1,1,1,1,1,1,1,1
118,3,3,3,4,4,4,4,3,3,3
119,1,1,1,1,1,1,1,1,1,1
120,5,5,7,8,8,8,7,6,6,7
121,5,6,7,7,6,6,6,6,6,6
122,2,2,3,3,3,3,3,3,3,3
123,2,2,3,4,4,3,3,3,3,3
124,3,3,4,5,5,5,4,4,4,4
125,3,3,4,5,6,5,4,3,3,4
126,3,4,5,5,5,5,4,4,5,5
127,2,3,3,5,7,7,5,3,2,3
128,1,1,1,1,1,1,1,1,1,1
129,8,5,7,7,10,8,6,7,8,8
130,5,6,7,7,6,7,6,7,7,7
131,5,4,5,6,7,6,6,5,5,6
132,3,3,4,6,6,5,4,4,4,5
133,6,6,5,7,7,7,7,7,7,7
134,1,1,0,1,1,1,1,1,0,1
135,3,2,4,7,8,8,6,4,3,5
136,1,2,2,2,2,2,2,2,2,2
137,2,3,4,4,4,4,4,3,4,4
138,2,3,3,3,3,3,3,3,3,3
139,3,3,4,5,6,5,5,4,4,5
140,2,4,6,8,8,7,6,6,6,7
141,2,2,3,3,3,3,3,3,3,3
142,3,4,4,4,4,4,4,4,4,4
143,2,2,2,2,2,2,2,2,2,2
144,7,12,13,15,14,13,13,13,13,13
145,5,6,7,7,7,6,6,6,6,7
